filename,xmlid,au-name,title,au-birth,au-death,au-ids,digitalSource,firsted-yr,ref-year,title-ids,language,numwords,subgenre,narr-per,au-gender,sizeCat,reprintCount,time-slot
FRA02602_Malot,FRA02602,"Malot, Hector",Sans famille,1830,1907,viaf:49228546 wikidata:Q315003,NA,1878,1880,viaf:186540937 wikidata:Q1570068,fr,123735,NA,autodiegetic,M,long,high,T2
FRA02603_Malot,FRA02603,"Malot, Hector",Conscience,1830,1907,viaf:49228546 wikidata:Q315003,NA,1888,NA,viaf:310221173 wikidata:Q21231298,fr,105754,NA,heterodiegetic,M,long,low,T3
FRA02701_Maupassant,FRA02701,"Maupassant, Guy de",Bel-Ami,1850,1893,viaf:29537765 wikidata:Q9327,NA,1885,NA,viaf:174771837 wikidata:Q339761,fr,111187,Bildungsroman,heterodiegetic,M,long,high,T3
FRA02702_Maupassant,FRA02702,"Maupassant, Guy de",Une Vie,1850,1893,viaf:29537765 wikidata:Q9327,NA,1883,NA,viaf:204219240 wikidata:Q51928413,fr,77338,Bildungsroman,heterodiegetic,M,medium,high,T3
FRA02802_Mirbeau,FRA02802,"Mirbeau, Octave",La Maréchale,1848,1917,viaf:100204602 wikidata:Q23441,NA,1883,NA,viaf:unvailable wikidata:missing,fr,60951,NA,heterodiegetic,M,medium,high,T3
FRA02901_Noailles,FRA02901,"Noailles, Anna de",La nouvelle espérance,1876,1933,viaf:95303465 wikidata:Q6050,La Nouvelle Espérance,1903,1903,viaf:missing wikidata:missing,fr,56757,NA,heterodiegetic,F,medium,low,T4
FRA03001_Ohnet,FRA03001,"Ohnet, Georges",La Grande Marnière,1848,1918,viaf:66497284 wikidata:Q1393388,NA,1885,1889,viaf:missing wikidata:missing,fr,115270,NA,heterodiegetic,M,long,low,T3
FRA03002_Ohnet,FRA03002,"Ohnet, Georges",L'Âme de Pierre,1848,1918,viaf:66497284 wikidata:Q1393388,NA,1890,NA,viaf:307993357 wikidata:Q19176918,fr,53382,NA,heterodiegetic,M,medium,low,T3
FRA03003_Ohnet,FRA03003,"Ohnet, Georges",Le Marchand de Poison,1848,1918,viaf:66497284 wikidata:Q1393388,NA,1894,1903,viaf:308106335 wikidata:missing,fr,50561,NA,heterodiegetic,M,medium,low,T3
FRA03101_Ponson,FRA03101,"Ponson du Terrail, Pierre Alexis",La baronne trépassée,1829,1871,viaf:17228199 wikidata:Q2595750,NA,1852,1853,viaf:missing wikidata:missing,fr,68667,NA,heterodiegetic,M,medium,high,T1
